street	direction	days_list	hours	limits	days	weekdays	start_time	end_time	simple_rules	street_geometry
Brunswick St	West	Tu and F	1:00 PM to 3:00 PM	Tenth St to York St	"tu", "fr"	["tu", "fr"]	13:00	15:00	"properties": {"street_name": "Brunswick","street_suffix": "St","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04990077018736,             40.72955561370666           ],           [             -74.05001610517502,             40.728858437776765           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05002146959303,             40.728829981461196           ],           [             -74.0502467751503,             40.7273969869783           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05026286840437,             40.727354301562976           ],           [             -74.05037552118301,             40.726675396514885           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05036747455597,             40.72663677595961           ],           [             -74.05049622058868,             40.72595989627373           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05050158500671,             40.725935504084475           ],           [             -74.05061691999435,             40.72525251915529           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05061691999435,             40.72522202859324           ],           [             -74.05072689056395,             40.72453903634213           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05068397521973,             40.724506512726755           ],           [             -74.0506973862648,             40.72441503997338           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05072152614594,             40.72438251629742           ],           [             -74.05082076787949,             40.723825545880175           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05082076787949,             40.723801152908656           ],           [             -74.05093342065811,             40.72312627715127           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05093342065811,             40.72310594946206           ],           [             -74.05105948448181,             40.722437165024736           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05107825994492,             40.72241683712507           ],           [             -74.05139207839966,             40.72199198260099           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05143767595291,             40.7219614905452           ],           [             -74.05177026987076,             40.72134961367319           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05178099870682,             40.721323186970615           ],           [             -74.05242204666138,             40.720121777334285           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05239790678023,             40.72003843000696           ],           [             -74.05273854732513,             40.71944279850804           ]         ]       }     }   ] }
Bryan Pl	East	M and Th	10:00 AM to 12:00 PM	Van Reipen Av to dead end	"mo", "th"	["mo", "th"]	10:00	12:00	"properties": {"street_name": "Bryan","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06625419855118,             40.734734406229684           ],           [             -74.06638294458389,             40.7341307765207           ]         ]       }     }   ] }
Bryan Pl	West	Tu and F	10:00 AM to 12:00 PM	Van Reipen Av to dead end	"tu", "fr"	["tu", "fr"]	10:00	12:00	"properties": {"street_name": "Bryan","street_suffix": "Pl","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06630516052246,             40.734748633126465           ],           [             -74.06643658876419,             40.73413890625014           ]         ]       }     }   ] }
Bryant Av	West	M and Th	10:00 AM to 12:00 PM	The cemetery to Logan Av	"mo", "th"	["mo", "th"]	10:00	12:00	"properties": {"street_name": "Bryant","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07496064901352,             40.73375477544897           ],           [             -74.07534956932068,             40.733116584982085           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07538712024689,             40.73307593570039           ],           [             -74.07598793506622,             40.73212473541901           ]         ]       }     }   ] }
Bryant Av	East	Tu and F	10:00 AM to 12:00 PM	The cemetery to Logan Av	"tu", "fr"	["tu", "fr"]	10:00	12:00	"properties": {"street_name": "Bryant","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07589942216873,             40.73208205303631           ],           [             -74.07529056072235,             40.73305357858488           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07525569200516,             40.73310032527238           ],           [             -74.07487750053404,             40.73373648345075           ]         ]       }     }   ] }
Cambridge Av	East	M and Th	10:00 AM to 12:00 PM	Franklin St to North St	"mo", "th"	["mo", "th"]	10:00	12:00	"properties": {"street_name": "Cambridge","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0443029999733,             40.752200711545534           ],           [             -74.04535979032516,             40.750587378951195           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04537856578827,             40.75055689999901           ],           [             -74.04632806777954,             40.74907560608323           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04612958431244,             40.74895571939837           ],           [             -74.04734194278716,             40.747021246738306           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04737681150436,             40.74697857391292           ],           [             -74.04840409755707,             40.74541185265211           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04842287302017,             40.74538543550511           ],           [             -74.04875010251999,             40.74486521877991           ],           [             -74.04900223016739,             40.744619333677186           ],           [             -74.04923021793365,             40.74428606646709           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04924362897873,             40.744261680995905           ],           [             -74.05020117759705,             40.7428940481751           ]         ]       }     }   ] }
Cambridge Av	West	Tu and F	10:00 AM to 12:00 PM	Franklin St to North St	"tu", "fr"	["tu", "fr"]	10:00	12:00	"properties": {"street_name": "Cambridge","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 10,"end_time": 12,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04436737298965,             40.75223931726156           ],           [             -74.04543220996857,             40.75061582596066           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04545366764069,             40.750583315091724           ],           [             -74.04639780521393,             40.74911014966418           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0462476015091,             40.74899229502005           ],           [             -74.04747068881989,             40.747061887498944           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0474545955658,             40.74700295838793           ],           [             -74.04847919940948,             40.74544843022297           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04849797487259,             40.745413884739925           ],           [             -74.04882252216339,             40.74489570034087           ],           [             -74.04904514551163,             40.74466200801639           ],           [             -74.04927849769592,             40.74431654829351           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.04930531978607,             40.74429825919934           ],           [             -74.05027091503143,             40.74292249847562           ]         ]       }     }   ] }
Carlton Av	South	M and Th	8:00 AM to 10:00 AM	Tonnele Av to Summit Av	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Carlton","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06228721141815,             40.7454626548284           ],           [             -74.06054109334946,             40.74471890709276           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06051963567734,             40.74470061810925           ],           [             -74.05882447957991,             40.74401172940077           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05875742435455,             40.7439690546443           ],           [             -74.05666530132294,             40.74312774671168           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05661970376968,             40.743105392974115           ],           [             -74.05490845441818,             40.74242055210115           ]         ]       }     }   ] }
Carlton Av	North	Tu and F	8:00 AM to 10:00 AM	Tonnele Av to Summit Av	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Carlton","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05488163232803,             40.742475420917586           ],           [             -74.05656874179839,             40.7431785506327           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05660092830658,             40.74319684003477           ],           [             -74.05871450901031,             40.744062532646566           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05876815319061,             40.74408082180557           ],           [             -74.06046867370605,             40.744765645583364           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06049549579619,             40.744779870334845           ],           [             -74.06227111816406,             40.7455317457259           ]         ]       }     }   ] }
Carteret Av	South	M and Th	8:00 AM to 10:00 AM	Garfield Av to Pacific Av	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Carteret","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0724366903305,             40.708456202535395           ],           [             -74.07128065824509,             40.70802719245363           ],           [             -74.07015144824982,             40.70713459863978           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07012730836868,             40.70710613303657           ],           [             -74.06948626041412,             40.70656935081224           ]         ]       }     }   ] }
Carteret Av	North	Tu and F	8:00 AM to 10:00 AM	Garfield Av to Pacific Av	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Carteret","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.06941384077072,             40.70663848209899           ],           [             -74.07005220651627,             40.70714883143682           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07007902860641,             40.70717729702179           ],           [             -74.07109290361404,             40.708000760462475           ],           [             -74.07124042510986,             40.70810242190952           ],           [             -74.07239377498627,             40.70852329864894           ]         ]       }     }   ] }
Carteret Av	North	M and Th	1:00 PM to 3:00 PM	Garfield Av to Ocean Av	"mo", "th"	["mo", "th"]	13:00	15:00	"properties": {"street_name": "Carteret","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07631516456604,             40.70974118302052           ],           [             -74.07537907361984,             40.70945247121048           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07534152269362,             40.709436205719165           ],           [             -74.07438397407532,             40.709145459391316           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07433569431305,             40.709125127432806           ],           [             -74.07334327697754,             40.70881811410443           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07328426837921,             40.708805914870084           ],           [             -74.07244741916656,             40.70853143150662           ]         ]       }     }   ] }
Carteret Av	South	Tu and F	1:00 PM to 3:00 PM	Garfield Av to Ocean Av	"tu", "fr"	["tu", "fr"]	13:00	15:00	"properties": {"street_name": "Carteret","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07635271549225,             40.709688320388366           ],           [             -74.07540589570999,             40.70940367472457           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0753710269928,             40.709389442409446           ],           [             -74.07440811395645,             40.70908039710219           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0743625164032,             40.70906616471796           ],           [             -74.07335937023163,             40.70873881904129           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07332718372344,             40.708753051495464           ],           [             -74.07247960567474,             40.708486700777215           ]         ]       }     }   ] }
Casper Ct	East	M and Th	3:00 PM to 5:00 PM	Van Houten Av to dead end	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Casper","street_suffix": "Ct","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [[-74.09064, 40.707699], [-74.090239, 40.708042]]       }     }   ] }
Casper Ct	West	Tu and F	3:00 PM to 5:00 PM	Van Houten Av to dead end	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Casper","street_suffix": "Ct","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [[-74.090338, 40.708105], [-74.090762, 40.707759]]       }     }   ] }
Cator Av	South	M and Th	1:00 PM to 3:00 PM	Princeton Av to Kennedy Blvd	"mo", "th"	["mo", "th"]	13:00	15:00	"properties": {"street_name": "Cator","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.08739268779755,             40.693060940632           ],           [             -74.08821880817413,             40.69409201174211           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.08825904130936,             40.69412048290735           ],           [             -74.08982813358307,             40.69598531773201           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.08990323543549,             40.69605039281389           ],           [             -74.0918880701065,             40.69837678523524           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09196853637695,             40.698449992069904           ],           [             -74.09228503704071,             40.69879975694725           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09236550331116,             40.69890143243917           ],           [             -74.09378707408905,             40.70061769132372           ]         ]       }     }   ] }
Cator Av	North	Tu and F	1:00 PM to 3:00 PM	Princeton Av to Kennedy Blvd	"tu", "fr"	["tu", "fr"]	13:00	15:00	"properties": {"street_name": "Cator","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 13,"end_time": 15,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09365832805634,             40.70071123022918           ],           [             -74.09231185913086,             40.69906817990998           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09224212169646,             40.69901937581539           ],           [             -74.09182369709015,             40.698535399941974           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09179151058197,             40.698449992069904           ],           [             -74.09130334854126,             40.69787653637868           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09126043319702,             40.69783179849307           ],           [             -74.09040749073029,             40.696835355981285           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09036993980408,             40.696794684541786           ],           [             -74.08978521823883,             40.69613987094771           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.08973157405853,             40.69608699751954           ],           [             -74.08818662166595,             40.694195728071136           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.08813297748564,             40.69412658386973           ],           [             -74.08729076385498,             40.693101614350866           ]         ]       }     }   ] }
Cator Av	North	M and Th	3:00 PM to 5:00 PM	Kennedy Blvd to West Side Av	"mo", "th"	["mo", "th"]	15:00	17:00	"properties": {"street_name": "Cator","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09372806549072,             40.70079256830109           ],           [             -74.09475803375244,             40.70202076111384           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09480631351471,             40.70204516206611           ],           [             -74.09787476062775,             40.70577026925945           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09790694713593,             40.70580686862403           ],           [             -74.09797132015228,             40.70587193411145           ]         ]       }     }   ] }
Cator Av	South	Tu and F	3:00 PM to 5:00 PM	Kennedy Blvd to West Side Av	"tu", "fr"	["tu", "fr"]	15:00	17:00	"properties": {"street_name": "Cator","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 15,"end_time": 17,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09801959991455,             40.70579060224226           ],           [             -74.09798473119736,             40.70577026925945           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09796595573425,             40.70572147007536           ],           [             -74.09490287303925,             40.7019922933249           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.09485459327698,             40.70195569186406           ],           [             -74.09382998943329,             40.700703096416525           ]         ]       }     }   ] }
Caven Point Av	North	M and Th	8:00 AM to 10:00 AM	The railroad tracks to Garfield Av	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Caven Point","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.07342374324799,             40.706258259133705           ],           [             -74.0724527835846,             40.70549374007681           ],           [             -74.07178223133087,             40.70496507814956           ],           [             -74.0704196691513,             40.70382640743796           ],           [             -74.06613349914551,             40.70587193411145           ],           [             -74.06480312347412,             40.70762054527495           ],           [             -74.06369805335997,             40.70812478740702           ],           [             -74.0633225440979,             40.70849076720841           ]         ]       }     }   ] }
Caven Point Av	South	Tu and F	8:00 AM to 10:00 AM	The railroad tracks to Garfield Av	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Caven Point","street_suffix": "Av","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.063161611557,             40.70850703293066           ],           [             -74.06328499317169,             40.7081979835282           ],           [             -74.06341105699539,             40.708069890263346           ],           [             -74.0645831823349,             40.70752498282762           ],           [             -74.06590551137924,             40.70584143467214           ],           [             -74.07042235136032,             40.70370643921159           ],           [             -74.07350152730942,             40.706150495010775           ]         ]       }     }   ] }
Center St	East	M and Th	8:00 AM to 10:00 AM	Grand St to Columbus Dr	"mo", "th"	["mo", "th"]	8:00	10:00	"properties": {"street_name": "Center","street_suffix": "St","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["M", "Th"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.054334461689,             40.722380246890005           ],           [             -74.05484944581985,             40.72089222695558           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0548574924469,             40.72084953736826           ],           [             -74.055055975914,             40.720176664541654           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05506670475006,             40.72014007307511           ],           [             -74.0552008152008,             40.719444831389104           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05520349740982,             40.71942043681212           ],           [             -74.0553429722786,             40.71873128631876           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05534029006958,             40.718706891480274           ],           [             -74.05548512935638,             40.718044161614706           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0554878115654,             40.718021799448955           ],           [             -74.05557632446289,             40.717446479329375           ],           [             -74.05555486679077,             40.71732246974763           ]         ]       }     }   ] }
Center St	West	Tu and F	8:00 AM to 10:00 AM	Grand St to Columbus Dr	"tu", "fr"	["tu", "fr"]	8:00	10:00	"properties": {"street_name": "Center","street_suffix": "St","sign_title": "Street Sweeping","start_time": 8,"end_time": 10,"sign_days": ["Tu", "F"],"neighborhood_name": "","other_rules": "","parking_zone": "None"},	{   "type": "FeatureCollection",   "features": [     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05567824840546,             40.717336700367106           ],           [             -74.05568093061446,             40.71743428167582           ],           [             -74.05557364225388,             40.718027898222196           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05560314655304,             40.71806245792655           ],           [             -74.05517935752869,             40.720087218699035           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.05515253543854,             40.72042467284022           ],           [             -74.05500769615173,             40.720880029933426           ]         ]       }     },     {       "type": "Feature",       "properties": {},       "geometry": {         "type": "LineString",         "coordinates": [           [             -74.0549647808075,             40.72094101502188           ],           [             -74.05443906784058,             40.72240870596347           ]         ]       }     }   ] }
